Symbol,Date, Close/Last, Volume, Open, High, Low
SBUX,04/24/2020, $75.58,8460619, $75.75, $76.03, $74.21
SBUX,04/23/2020, $75.15,15513360, $77.33, $77.67, $74.26
SBUX,04/22/2020, $77.45,11355290, $74.55, $78.06, $74.43
SBUX,04/21/2020, $72.72,10345790, $73.4, $73.96, $71.74
SBUX,04/20/2020, $75.32,9684741, $76.02, $76.98, $75.085
SBUX,04/17/2020, $77.1,14268390, $76.62, $77.39, $74.97
SBUX,04/16/2020, $73.51,11946810, $73.11, $73.76, $71.345
SBUX,04/15/2020, $72.55,10642530, $72.01, $73.175, $70.71
SBUX,04/14/2020, $73.67,10912000, $73.69, $74.33, $72.66
SBUX,04/13/2020, $71.76,11191790, $73.52, $73.6, $70.35
SBUX,04/09/2020, $73.88,19769560, $71.2, $74.255, $70.14
SBUX,04/08/2020, $71.57,10417640, $69.58, $71.92, $68.5377
SBUX,04/07/2020, $68.71,13799400, $71.568, $72.48, $68.335
SBUX,04/06/2020, $67.79,18010770, $66.27, $68.34, $64.41
SBUX,04/03/2020, $63.05,14676460, $64.47, $64.75, $60.9
SBUX,04/02/2020, $65,18175040, $65.75, $68.7, $62.91
SBUX,04/01/2020, $62.62,12880410, $63, $64.76, $61.58
SBUX,03/31/2020, $65.74,20109800, $67.18, $68.32, $65.31
SBUX,03/30/2020, $67.86,14199720, $66.56, $68.2199, $64.58
SBUX,03/27/2020, $66.34,18950460, $66.68, $68.25, $64.8202
SBUX,03/26/2020, $69.9,21005280, $66.71, $71.58, $66.25
SBUX,03/25/2020, $65.81,22977190, $66.83, $69.64, $63.4927
SBUX,03/24/2020, $64.88,28286190, $62.61, $65.16, $61
SBUX,03/23/2020, $56.55,24905790, $57.23, $57.44, $54
SBUX,03/20/2020, $58.03,28420580, $62.3, $65.68, $57.91
SBUX,03/19/2020, $61.41,25167420, $56.23, $63.36, $53.55
SBUX,03/18/2020, $56.33,28770620, $55.55, $57.65, $50.02
SBUX,03/17/2020, $58.98,25045190, $59.55, $59.6199, $53.61
SBUX,03/16/2020, $58.59,23354350, $60.63, $63.949, $58.11
SBUX,03/13/2020, $69.92,19247180, $65.65, $70.18, $63.51
SBUX,03/12/2020, $62.1,25170630, $62.954, $66.793, $61.46
SBUX,03/11/2020, $68.3,17161370, $72.83, $74.27, $67.4
SBUX,03/10/2020, $74.87,18414050, $72.56, $74.95, $70.03
SBUX,03/09/2020, $70.83,15930310, $70.58, $74.03, $70.08
SBUX,03/06/2020, $75.34,18080150, $73.46, $75.71, $72.05
SBUX,03/05/2020, $76.19,12545270, $77.9, $77.9, $75.28
SBUX,03/04/2020, $79.67,10999610, $79.29, $80.2, $77.88
SBUX,03/03/2020, $78.6,12395890, $82.3, $82.615, $78.11
SBUX,03/02/2020, $82.38,14258680, $77.92, $82.41, $77.66
SBUX,02/28/2020, $78.43,19120250, $76.17, $78.81, $75.72
SBUX,02/27/2020, $78.29,17120830, $78.83, $80.87, $77.36
SBUX,02/26/2020, $80.67,10549300, $82.6, $83.24, $80.64
SBUX,02/25/2020, $82.19,9403953, $85.02, $85.35, $81.67
SBUX,02/24/2020, $84.52,8313643, $84.53, $86.0513, $84.26
SBUX,02/21/2020, $87.36,5801705, $88, $88.39, $87
SBUX,02/20/2020, $88.6,5969200, $89.73, $90.25, $87.73
SBUX,02/19/2020, $90.14,5210834, $89.49, $90.435, $89.3
SBUX,02/18/2020, $89.23,5291147, $89.37, $89.47, $88.29
SBUX,02/14/2020, $89.28,5686868, $90.18, $90.4099, $88.99
SBUX,02/13/2020, $89.925,8576615, $88.5, $90.505, $88.26
SBUX,02/12/2020, $88.57,7747787, $87.71, $89.1, $87.39
SBUX,02/11/2020, $87.51,5098622, $87.86, $88.2299, $87.35
SBUX,02/10/2020, $87.53,7289281, $86.43, $87.6175, $86.1675
SBUX,02/07/2020, $86.42,8073908, $85.76, $86.62, $85.315
SBUX,02/06/2020, $86.15,8901403, $87.65, $87.695, $86.15
SBUX,02/05/2020, $87.56,9982673, $88.88, $89.2, $86.63
SBUX,02/04/2020, $88.38,9997071, $87.14, $89, $86.62
SBUX,02/03/2020, $86.01,9092620, $85.07, $86.7863, $85.07
SBUX,01/31/2020, $84.83,11693900, $85.79, $85.9924, $84.52
SBUX,01/30/2020, $85.84,12224940, $85.45, $86.59, $84.69
SBUX,01/29/2020, $86.72,17703900, $88.15, $88.44, $85.6
SBUX,01/28/2020, $88.6,11922400, $89.05, $89.188, $87.72
SBUX,01/27/2020, $88.73,11066490, $88.63, $89.45, $87.55
SBUX,01/24/2020, $92.03,7815501, $94, $94.13, $91.34
SBUX,01/23/2020, $93.75,6100777, $91.92, $93.85, $90.74
SBUX,01/22/2020, $92.53,6157412, $93.14, $93.75, $92.47
SBUX,01/21/2020, $92.53,7094559, $92.83, $93.595, $92.19
SBUX,01/17/2020, $93.62,6962787, $92.93, $93.75, $92.8099
SBUX,01/16/2020, $92.58,5180320, $91.99, $92.61, $91.63
SBUX,01/15/2020, $91.54,6145518, $91, $92.06, $91
SBUX,01/14/2020, $90.99,5855400, $91.19, $91.44, $90.86
SBUX,01/13/2020, $91.08,7382968, $90.62, $91.715, $90.21
SBUX,01/10/2020, $90.16,7098085, $90.8, $90.89, $89.63
SBUX,01/09/2020, $90.53,9450166, $90.25, $91.16, $90.07
SBUX,01/08/2020, $88.88,7297235, $87.94, $89.35, $87.78
SBUX,01/07/2020, $87.86,6533541, $87.96, $88.03, $87.13
SBUX,01/06/2020, $88.13,5409850, $88.11, $88.41, $87.47
SBUX,01/03/2020, $88.83,4874916, $88.66, $89.1, $88.1
SBUX,01/02/2020, $89.35,6475843, $88.12, $89.35, $88.05
SBUX,12/31/2019, $87.92,4116734, $87.44, $87.99, $87.31
SBUX,12/30/2019, $87.44,4656289, $88.01, $88.2, $87.06
SBUX,12/27/2019, $88.13,4130878, $88.11, $88.46, $87.69
SBUX,12/26/2019, $88.075,4180261, $88.73, $88.76, $87.79
SBUX,12/24/2019, $88.52,1847770, $88.2, $88.5977, $88
SBUX,12/23/2019, $88.23,4349884, $88.62, $88.85, $88.175
SBUX,12/20/2019, $88.46,14271660, $88.785, $89, $87.89
SBUX,12/19/2019, $88.52,6023454, $87.83, $88.585, $87.58
SBUX,12/18/2019, $87.99,5859211, $88.39, $88.85, $87.815
